Type: Dichroic
Name: FF444/520/590-Di01
Typical Measured Spectrum of Semrock FF444/520/590-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
571.2,0.00575
571.4,0.00571
571.6,0.00571
571.8,0.00569
572.0,0.0057
572.2,0.00575
572.4,0.00576
572.6,0.00579
572.8,0.00584
573.0,0.00587
573.2,0.00591
573.4,0.00598
573.6,0.00603
573.8,0.00609
574.0,0.00618
574.2,0.0063
574.4,0.00635
574.6,0.00647
574.8,0.00656
575.0,0.00664
575.2,0.00677
575.4,0.00675
575.6,0.00688
575.8,0.007
576.0,0.00718
576.2,0.00736
576.4,0.00754
576.6,0.00773
576.8,0.00796
577.0,0.00819
577.2,0.00841
577.4,0.00865
577.6,0.00894
577.8,0.00922
578.0,0.0095
578.2,0.00993
578.4,0.01031
578.6,0.01064
578.8,0.01098
579.0,0.01145
579.2,0.01194
579.4,0.01247
579.6,0.01287
579.8,0.01338
580.0,0.01391
580.2,0.01453
580.4,0.01518
580.6,0.0159
580.8,0.01673
581.0,0.0176
581.2,0.01839
581.4,0.01934
581.6,0.02042
581.8,0.02156
582.0,0.02275
582.2,0.02413
582.4,0.02551
582.6,0.02692
582.8,0.0286
583.0,0.03041
583.2,0.03238
583.4,0.03469
583.6,0.03707
583.8,0.03961
584.0,0.04219
584.2,0.04533
584.4,0.04872
584.6,0.05248
584.8,0.05642
585.0,0.06078
585.2,0.06533
585.4,0.0694
585.6,0.0749
585.8,0.08102
586.0,0.08761
586.2,0.0947
586.4,0.10262
586.6,0.11081
586.8,0.11972
587.0,0.12933
587.2,0.14012
587.4,0.15113
587.6,0.16285
587.8,0.17538
588.0,0.18916
588.2,0.20211
588.4,0.21634
588.6,0.23057
588.8,0.24625
589.0,0.2614
589.2,0.2779
589.4,0.29379
589.6,0.30871
589.8,0.3244
590.0,0.33895
590.2,0.35373
