Type: Dichroic
Name: NI Channel Splitter Dichroic
Typical Measured Spectrum of Semrock FF640-FDi01 Optical Filter,
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
511.6,0.0391
511.8,0.03932
512.0,0.03955
512.2,0.03969
512.4,0.03986
512.6,0.03972
512.8,0.03973
513.0,0.03968
513.2,0.03966
513.4,0.03963
513.6,0.03927
513.8,0.03912
514.0,0.03883
514.2,0.03851
514.4,0.03826
514.6,0.0378
514.8,0.0374
515.0,0.03684
515.2,0.03653
515.4,0.03618
515.6,0.03583
515.8,0.03524
516.0,0.03484
516.2,0.03439
516.4,0.034
516.6,0.03333
516.8,0.03268
517.0,0.032
517.2,0.03135
517.4,0.03072
517.6,0.03001
517.8,0.02921
518.0,0.02851
518.2,0.02766
518.4,0.02703
518.6,0.02646
518.8,0.02582
519.0,0.02518
519.2,0.02463
519.4,0.02421
519.6,0.02383
519.8,0.02346
520.0,0.02319
520.2,0.02295
520.4,0.02288
520.6,0.02277
520.8,0.02287
521.0,0.02287
521.2,0.02304
521.4,0.02328
521.6,0.02346
521.8,0.02376
522.0,0.02401
522.2,0.0244
522.4,0.02484
522.6,0.0254
522.8,0.02592
523.0,0.02659
523.2,0.02723
523.4,0.02801
523.6,0.02871
523.8,0.02945
524.0,0.03029
524.2,0.03113
524.4,0.03206
524.6,0.03298
524.8,0.0341
525.0,0.03504
525.2,0.03597
525.4,0.03685
525.6,0.03784
525.8,0.03881
526.0,0.03949
526.2,0.04035
526.4,0.04119
526.6,0.0419
526.8,0.04238
527.0,0.04302
527.2,0.0434
527.4,0.04389
527.6,0.04411
527.8,0.04436
528.0,0.04422
528.2,0.0442
528.4,0.04412
528.6,0.04395
528.8,0.04368
529.0,0.04357
529.2,0.04324
529.4,0.04292
529.6,0.04249
529.8,0.04199
530.0,0.04159
530.2,0.0412
530.4,0.04076
530.6,0.04046
530.8,0.04004
531.0,0.0399
531.2,0.03958
531.4,0.03945
531.6,0.03928
531.8,0.03935
532.0,0.03912
532.2,0.03925
532.4,0.03922
532.6,0.03933
532.8,0.03941
533.0,0.03951
533.2,0.03973
533.4,0.03987
533.6,0.04013
533.8,0.04053
534.0,0.04101
534.2,0.04107
534.4,0.04161
534.6,0.04219
534.8,0.04255
535.0,0.04317
535.2,0.04353
535.4,0.04402
535.6,0.04455
535.8,0.0449
536.0,0.04515
536.2,0.04559
536.4,0.04581
536.6,0.04625
536.8,0.04622
537.0,0.04642
537.2,0.04656
537.4,0.04661
537.6,0.04662
537.8,0.04653
538.0,0.04651
538.2,0.04632
538.4,0.0461
538.6,0.04569
538.8,0.0454
539.0,0.04508
539.2,0.04483
539.4,0.04429
539.6,0.0439
539.8,0.04349
540.0,0.04329
540.2,0.04288
540.4,0.04257
540.6,0.04197
540.8,0.0416
541.0,0.04148
541.2,0.04126
541.4,0.04108
541.6,0.04109
541.8,0.04083
542.0,0.04088
542.2,0.04111
542.4,0.04116
542.6,0.04144
542.8,0.04154
543.0,0.04201
543.2,0.0425
543.4,0.04299
543.6,0.04363
543.8,0.0442
544.0,0.04484
544.2,0.04557
544.4,0.04634
544.6,0.04704
544.8,0.04797
545.0,0.04881
545.2,0.04947
545.4,0.0505
545.6,0.0515
545.8,0.05215
546.0,0.05268
546.2,0.05324
546.4,0.05362
546.6,0.05389
546.8,0.05399
547.0,0.05364
547.2,0.05308
547.4,0.05229
547.6,0.05099
547.8,0.04936
548.0,0.04757
548.2,0.04579
548.4,0.04363
548.6,0.04129
548.8,0.03887
549.0,0.03651
549.2,0.03422
549.4,0.03204
549.6,0.03002
549.8,0.0279
550.0,0.02602
550.2,0.02428
550.4,0.02268
550.6,0.02125
550.8,0.02
551.0,0.01876
551.2,0.01778
551.4,0.01687
551.6,0.01607
551.8,0.01523
552.0,0.01459
552.2,0.01396
552.4,0.01342
552.6,0.01293
552.8,0.01244
553.0,0.01205
553.2,0.01175
553.4,0.01141
553.6,0.0111
553.8,0.01082
554.0,0.01062
554.2,0.0104
554.4,0.01024
554.6,0.0101
554.8,0.01003
555.0,0.00988
555.2,0.00982
555.4,0.00977
555.6,0.00972
555.8,0.0098
556.0,0.00976
556.2,0.00982
556.4,0.00991
556.6,0.00999
556.8,0.01014
557.0,0.01032
557.2,0.01046
557.4,0.01067
557.6,0.01089
557.8,0.01111
558.0,0.01145
558.2,0.0118
558.4,0.01212
558.6,0.01249
558.8,0.01293
559.0,0.01331
559.2,0.01374
559.4,0.0142
559.6,0.0147
559.8,0.01523
560.0,0.01571
560.2,0.01625
560.4,0.01669
560.6,0.01717
560.8,0.01767
561.0,0.01813
561.2,0.01859
561.4,0.01909
561.6,0.01949
561.8,0.01987
562.0,0.02029
562.2,0.02058
562.4,0.0209
562.6,0.02106
562.8,0.02126
563.0,0.02138
563.2,0.02129
563.4,0.02125
563.6,0.02106
563.8,0.02083
564.0,0.02048
564.2,0.02016
564.4,0.01977
564.6,0.01927
564.8,0.01866
565.0,0.01805
565.2,0.01751
565.4,0.01687
565.6,0.01616
565.8,0.01545
566.0,0.0148
566.2,0.01415
566.4,0.01352
566.6,0.01292
566.8,0.01236
567.0,0.01175
567.2,0.0113
567.4,0.01083
567.6,0.01039
567.8,0.01001
568.0,0.00962
568.2,0.00925
568.4,0.00893
568.6,0.00861
568.8,0.00837
569.0,0.00812
569.2,0.0079
569.4,0.00767
569.6,0.00746
569.8,0.00726
570.0,0.00706
570.2,0.00693
570.4,0.00678
570.6,0.00664
570.8,0.00661
571.0,0.00652
571.2,0.00641
571.4,0.00644
571.6,0.00639
571.8,0.00631
572.0,0.00633
572.2,0.00629
572.4,0.00632
572.6,0.00636
572.8,0.00639
573.0,0.00642
573.2,0.00648
573.4,0.00656
573.6,0.00664
573.8,0.00675
574.0,0.00683
574.2,0.00692
574.4,0.00709
574.6,0.00727
574.8,0.00743
575.0,0.00769
575.2,0.00785
575.4,0.00816
575.6,0.00845
575.8,0.00877
576.0,0.0091
576.2,0.00944
576.4,0.00985
576.6,0.01034
576.8,0.01083
577.0,0.01128
577.2,0.01187
577.4,0.01245
577.6,0.01305
577.8,0.01377
578.0,0.01457
578.2,0.01537
578.4,0.01625
578.6,0.01723
578.8,0.01829
579.0,0.01947
579.2,0.02081
579.4,0.02222
579.6,0.02361
579.8,0.02515
580.0,0.02686
580.2,0.02875
580.4,0.03053
580.6,0.03259
580.8,0.03466
581.0,0.03709
581.2,0.03934
581.4,0.04147
581.6,0.04356
581.8,0.04579
582.0,0.04779
582.2,0.04959
582.4,0.05111
582.6,0.05253
582.8,0.05342
583.0,0.05445
583.2,0.05482
583.4,0.05501
583.6,0.05494
583.8,0.05447
584.0,0.05386
584.2,0.05297
584.4,0.05196
584.6,0.05055
584.8,0.04912
585.0,0.04771
585.2,0.04627
585.4,0.04465
585.6,0.04305
585.8,0.04153
586.0,0.04018
586.2,0.03896
586.4,0.03756
586.6,0.03636
586.8,0.03515
587.0,0.03428
587.2,0.03334
587.4,0.03248
587.6,0.03161
587.8,0.03083
588.0,0.03017
588.2,0.02965
588.4,0.02925
588.6,0.02885
588.8,0.02836
589.0,0.02817
589.2,0.02801
589.4,0.02776
589.6,0.02757
589.8,0.02758
590.0,0.02748
590.2,0.02752
590.4,0.02759
590.6,0.0276
590.8,0.02776
591.0,0.02793
591.2,0.02798
591.4,0.02824
591.6,0.02849
591.8,0.02861
592.0,0.02899
592.2,0.02942
592.4,0.02982
592.6,0.03006
592.8,0.0304
593.0,0.03059
593.2,0.03095
593.4,0.03148
593.6,0.03176
593.8,0.03217
594.0,0.03234
594.2,0.03261
594.4,0.03272
594.6,0.03307
594.8,0.03312
595.0,0.0332
595.2,0.03334
595.4,0.03349
595.6,0.0333
595.8,0.03313
596.0,0.03306
596.2,0.03288
596.4,0.03274
596.6,0.03245
596.8,0.03201
597.0,0.0317
597.2,0.03132
597.4,0.03095
597.6,0.03055
597.8,0.02999
598.0,0.02945
598.2,0.02891
598.4,0.02838
598.6,0.02774
598.8,0.02729
599.0,0.02687
599.2,0.02635
599.4,0.02567
599.6,0.02523
599.8,0.02478
600.0,0.02439
600.2,0.02388
600.4,0.02335
600.6,0.02297
600.8,0.02256
601.0,0.02216
601.2,0.0218
601.4,0.02141
601.6,0.02121
601.8,0.02089
602.0,0.02059
602.2,0.02031
602.4,0.02009
602.6,0.01998
602.8,0.01984
603.0,0.01975
603.2,0.01965
603.4,0.01952
603.6,0.01941
603.8,0.01945
604.0,0.01942
604.2,0.01942
604.4,0.01944
604.6,0.0195
604.8,0.01959
605.0,0.01971
605.2,0.01977
605.4,0.02
605.6,0.02014
605.8,0.02033
606.0,0.02061
606.2,0.02081
606.4,0.02115
606.6,0.02137
606.8,0.02179
607.0,0.02214
607.2,0.02255
607.4,0.02307
607.6,0.02357
607.8,0.02409
608.0,0.02544
608.2,0.02764
608.4,0.0282
608.6,0.02879
608.8,0.02948
609.0,0.03017
609.2,0.03098
609.4,0.03179
609.6,0.03262
609.8,0.0334
610.0,0.03425
610.2,0.0352
610.4,0.03609
610.6,0.03693
610.8,0.03768
611.0,0.03862
611.2,0.03957
611.4,0.04047
611.6,0.04128
611.8,0.04212
612.0,0.04289
612.2,0.04365
612.4,0.0441
612.6,0.04462
612.8,0.04524
613.0,0.04574
613.2,0.04616
613.4,0.04647
613.6,0.04684
613.8,0.04709
614.0,0.04701
614.2,0.0471
614.4,0.04704
614.6,0.04681
614.8,0.04654
615.0,0.04611
615.2,0.04565
615.4,0.04522
615.6,0.04493
615.8,0.04438
616.0,0.04392
616.2,0.04333
616.4,0.04262
616.6,0.04204
616.8,0.04142
617.0,0.04082
617.2,0.04022
617.4,0.03981
617.6,0.0391
617.8,0.03856
618.0,0.03813
618.2,0.03763
618.4,0.0372
618.6,0.03677
618.8,0.03644
619.0,0.03616
619.2,0.03585
619.4,0.03572
619.6,0.03562
619.8,0.03541
620.0,0.0354
620.2,0.03535
620.4,0.03543
620.6,0.03555
620.8,0.03578
621.0,0.03605
621.2,0.03658
621.4,0.03702
