Type: filter
Name: Semrock FF01-676/37 Optical Filter
Wavelength (nm), Transmission (0 to 1)
457.4,8.7416e-08
457.6,8.5641e-08
457.8,8.3902e-08
458.0,8.2198e-08
458.2,8.0528e-08
458.4,7.8893e-08
458.6,7.7291e-08
458.8,7.5721e-08
459.0,7.4184e-08
459.2,7.2677e-08
459.4,7.1201e-08
459.6,6.9755e-08
459.8,6.8591e-08
460.0,7.0014e-08
460.2,7.1466e-08
460.4,7.2948e-08
460.6,7.4461e-08
460.8,7.6006e-08
461.0,7.7582e-08
461.2,7.9191e-08
461.4,8.0834e-08
461.6,8.251e-08
461.8,8.4222e-08
462.0,8.5968e-08
462.2,8.7751e-08
462.4,8.9571e-08
462.6,9.1429e-08
462.8,9.3325e-08
463.0,9.5261e-08
463.2,9.7237e-08
463.4,9.9254e-08
463.6,1.0075e-07
463.8,1.0195e-07
464.0,1.0316e-07
464.2,1.0439e-07
464.4,1.0563e-07
464.6,1.0689e-07
464.8,1.0816e-07
465.0,1.0944e-07
465.2,1.1075e-07
465.4,1.1206e-07
465.6,1.134e-07
465.8,1.1474e-07
466.0,1.1611e-07
466.2,1.1749e-07
466.4,1.1889e-07
466.6,1.203e-07
466.8,1.2173e-07
467.0,1.2318e-07
467.2,1.2767e-07
467.4,1.4711e-07
467.6,1.6951e-07
467.8,1.9532e-07
468.0,2.2506e-07
468.2,1.9972e-07
468.4,1.7722e-07
468.6,1.5726e-07
468.8,1.3955e-07
469.0,1.2384e-07
469.2,1.0989e-07
469.4,9.7514e-08
469.6,8.6532e-08
469.8,7.6787e-08
470.0,6.8139e-08
470.2,6.0465e-08
470.4,5.3655e-08
470.6,4.8172e-08
470.8,4.9039e-08
471.0,4.9921e-08
471.2,5.082e-08
471.4,5.1734e-08
471.6,5.2666e-08
471.8,5.3613e-08
472.0,5.4578e-08
472.2,5.5561e-08
472.4,5.6561e-08
472.6,5.7579e-08
472.8,5.8615e-08
473.0,5.967e-08
473.2,6.0744e-08
473.4,6.1837e-08
473.6,6.295e-08
473.8,6.4083e-08
474.0,6.5237e-08
474.2,6.6411e-08
474.4,6.7551e-08
474.6,6.8674e-08
474.8,6.9816e-08
475.0,7.0977e-08
475.2,7.2157e-08
475.4,7.3356e-08
475.6,7.4576e-08
475.8,7.5816e-08
476.0,7.7076e-08
476.2,7.8358e-08
476.4,7.966e-08
476.6,8.0985e-08
476.8,8.2331e-08
477.0,8.37e-08
477.2,8.5091e-08
477.4,8.6506e-08
477.6,8.7944e-08
477.8,8.9406e-08
478.0,9.0495e-08
478.2,8.8827e-08
478.4,8.719e-08
478.6,8.5583e-08
478.8,8.4006e-08
479.0,8.2458e-08
479.2,8.0938e-08
479.4,7.9446e-08
479.6,7.7982e-08
479.8,7.6545e-08
480.0,7.5134e-08
480.2,7.375e-08
480.4,7.2391e-08
480.6,7.1056e-08
480.8,6.9747e-08
481.0,6.8461e-08
481.2,6.72e-08
481.4,6.5961e-08
481.6,6.4746e-08
481.8,6.4441e-08
482.0,6.4587e-08
482.2,6.4733e-08
482.4,6.488e-08
